admin4pcode,month,beneficiaries,cluster
C1444,mar,650,Cash
C1445,mar,105,Cash
C1447,apr,0,Cash
C1447,mar,1125,Cash
C1449,feb,1245,Cash
C1484,jan,137,Cash
C1493,apr,125,Cash
C1494,apr,350,Cash
C1495,feb,47,Cash
C1497,feb,600,Cash
C1497,mar,2340,Cash
C1498,apr,525,Cash
C1498,mar,1585,Cash
C1499,apr,55,Cash
C1500,apr,160,Cash
C1501,feb,183,Cash
C1504,apr,155,Cash
C1504,mar,140,Cash
C1506,feb,29,Cash
C1507,apr,210,Cash
C1508,feb,41,Cash
C1510,apr,245,Cash
C1511,apr,195,Cash
C1512,feb,182,Cash
C1514,apr,250,Cash
C1514,mar,140,Cash
C1515,mar,900,Cash
C1517,apr,125,Cash
C1518,feb,89,Cash
C1518,mar,1180,Cash
C1520,mar,3830,Cash
C1521,feb,150,Cash
C1521,mar,400,Cash
C1522,feb,83,Cash
C1522,mar,525,Cash
C1523,apr,50,Cash
C1524,feb,445,Cash
C1524,mar,3200,Cash
C1544,mar,693,Cash
C1548,mar,634,Cash
C1552,apr,0,Cash
C1552,mar,550,Cash
C1555,mar,481,Cash
C1561,apr,680,Cash
C1564,apr,1777,Cash
C1564,feb,2114,Cash
C1581,jan,70,Cash
C1643,jan,71,Cash
C1643,mar,292,Cash
C1664,apr,519,Cash
C2227,feb,1250,Cash
C2227,mar,920,Cash
C3871,apr,8118,Cash
C3871,jan,1750,Cash
C3871,mar,1315,Cash
C3873,apr,323,Cash
C3879,mar,355,Cash
C3904,apr,1250,Cash
C3904,mar,2500,Cash
C3905,mar,1485,Cash
C3906,mar,1160,Cash
C3932,mar,2500,Cash
C3937,mar,41,Cash
C3938,apr,1774,Cash
C3938,mar,1714,Cash
C3939,apr,532,Cash
C3940,apr,327,Cash
C3943,mar,2120,Cash
C3944,mar,2049,Cash
C3945,apr,55,Cash
C3946,apr,348,Cash
C3947,apr,356,Cash
C3947,feb,150,Cash
C3947,mar,3100,Cash
C3949,apr,4887,Cash
C3950,apr,10,Cash
C3950,mar,3430,Cash
C3951,mar,348,Cash
C4114,mar,1204,Cash
C4115,apr,28144,Cash
C4115,feb,14251,Cash
C4115,mar,523,Cash
C4116,apr,1844,Cash
C4121,apr,262,Cash
C4121,feb,2164,Cash
C4121,mar,3356,Cash
C4122,apr,16,Cash
C4122,mar,2177,Cash
C4123,mar,359,Cash
C4124,feb,2200,Cash
C4125,apr,20,Cash
