district,sub_district,community,Cash,Education,FSL,Nutrition,Protection,SNFI,WASH,CCCM,ERL,beneficiary_frequencies,total_pop,admin4pcode
A'zaz,Mare',Hiwar Elnahr,NA,NA,NA,NA,399,NA,NA,NA,NA,399,1104,C1636
Afrin,Jandairis,Zalaqah,NA,NA,NA,NA,397,NA,NA,NA,NA,397,666,C8146
Jarablus,Ghandorah,Qahirat Al-Ghandoura,NA,NA,394,NA,NA,NA,NA,NA,NA,394,195,C7585
Afrin,Bulbul,Qorna,25,NA,365,NA,NA,NA,NA,NA,NA,390,1076,C1418
Afrin,Sharan,Qastal (Sharan),390,NA,NA,NA,NA,NA,NA,NA,NA,390,206,C1514
Ariha,Mhambal,Hmeimat,NA,NA,340,36,14,NA,NA,NA,NA,390,665,C4319
Ariha,Ehsem,Arnaba,NA,NA,320,65,NA,NA,NA,NA,NA,385,1514,C4301
A'zaz,Aghtrin,Bleikha,NA,NA,360,24,NA,NA,NA,NA,NA,384,840,C1583
Ariha,Mhambal,Baqlid,NA,NA,383,NA,NA,NA,NA,NA,NA,383,630,C4324
Afrin,Bulbul,Ali Jaru,20,NA,350,NA,NA,NA,NA,NA,NA,370,607,C8286
Afrin,Afrin,Deir Meshmesh,NA,NA,NA,NA,367,NA,NA,NA,NA,367,0,C8178
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Sabileh,202,NA,NA,162,NA,NA,NA,NA,NA,364,499,C4211
Afrin,Raju,Omar - Omar Oshaghi,NA,NA,362,NA,NA,NA,NA,NA,NA,362,1000,C1461
Afrin,Sharan,Deir Siwan,362,NA,NA,NA,NA,NA,NA,NA,NA,362,3471,C1494
Afrin,Afrin,Shawarghet Eljoz,NA,NA,NA,NA,355,NA,NA,NA,NA,355,1175,C1356
Jisr-Ash-Shugur,Darkosh,Al Rasem (Darkosh),NA,NA,NA,355,NA,NA,NA,NA,NA,355,445,C8406
Afrin,Bulbul,Sharqan,NA,NA,350,NA,NA,NA,NA,NA,NA,350,423,C1396
Jisr-Ash-Shugur,Darkosh,Matleh - Batlaya,NA,NA,350,NA,NA,NA,NA,NA,NA,350,821,C4244
Afrin,Bulbul,Abel,30,NA,315,NA,NA,NA,NA,NA,NA,345,437,C1397
Afrin,Raju,Beit Adin,NA,NA,NA,345,NA,NA,NA,NA,NA,345,5160,C1473
Afrin,Bulbul,Ras Ahmar,65,NA,275,NA,NA,NA,NA,NA,NA,340,726,C1403
Harim,Armanaz,Quneitra (Armanaz),NA,NA,337,2,NA,NA,NA,NA,NA,339,2345,C4177
Afrin,Afrin,Eskan,25,NA,NA,NA,308,NA,NA,NA,NA,333,3305,C1352
Harim,Salqin,Set Aateka,NA,NA,NA,NA,NA,NA,320,NA,NA,320,1387,C6750
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Al Sheakh Ibrahim,NA,NA,NA,316,NA,NA,NA,NA,NA,316,560,C8385
Afrin,Bulbul,Tafla,20,NA,285,NA,NA,NA,NA,NA,NA,305,1047,C1412
Afrin,Raju,Darwishiyeh,NA,NA,NA,NA,305,NA,NA,NA,NA,305,0,C1456
Jisr-Ash-Shugur,Darkosh,Turin,NA,NA,110,192,NA,NA,NA,NA,NA,302,364,C4237
A'zaz,Suran,Thaheriya Azaz,NA,NA,300,NA,NA,NA,NA,NA,NA,300,397,C1666
Afrin,Sharan,Big Hallubi,295,NA,NA,NA,NA,NA,NA,NA,NA,295,725,C1504
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Watba,268,NA,NA,26,NA,NA,NA,NA,NA,294,915,C4220
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Tal Hamki,NA,NA,293,NA,NA,NA,NA,NA,NA,293,344,C4218
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Qulaia,NA,NA,NA,289,NA,NA,NA,NA,NA,289,455,C6642
A'zaz,Aghtrin,Tal Sheer Aazaz,NA,NA,245,42,NA,NA,NA,NA,NA,287,1579,C1592
Ariha,Ariha,Maalali,NA,NA,280,6,NA,NA,NA,NA,NA,286,516,C6611
Al Bab,Al Bab,Zarzur (Al Bab),NA,NA,280,NA,NA,NA,NA,NA,NA,280,0,C8157
Ariha,Mhambal,Sanghara,NA,1,267,9,NA,NA,NA,NA,NA,277,396,C6612
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Frikeh (Jisr-Ash-Shugur),NA,5,261,9,NA,NA,NA,NA,NA,275,2832,C4219
Afrin,Afrin,Basufan,65,NA,NA,206,NA,NA,NA,NA,NA,271,886,C1374
A'zaz,Aghtrin,Kardish,NA,2,260,6,NA,NA,NA,NA,NA,268,1741,C1610
Afrin,Ma'btali,Anbar,NA,NA,267,NA,NA,NA,NA,NA,NA,267,570,C1549
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Qirmida,NA,NA,NA,262,NA,NA,NA,NA,NA,262,495,C6697
Afrin,Afrin,Basuta,255,NA,NA,NA,6,NA,NA,NA,NA,261,7423,C1376
Afrin,Sharan,Omariyeh Afrin,245,NA,13,NA,NA,NA,NA,NA,NA,258,756,C1510
Afrin,Jandairis,Eastern Eshkan,255,NA,NA,NA,NA,NA,NA,NA,NA,255,1595,C1441
Afrin,Bulbul,Qotan,5,NA,245,NA,NA,NA,NA,NA,NA,250,483,C1415
Afrin,Raju,Ghizlan - Jilani,NA,NA,250,NA,NA,NA,NA,NA,NA,250,334,C1451
Jarablus,Ghandorah,Big Nabgha,NA,NA,236,NA,NA,NA,NA,NA,NA,236,405,C2264
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Mazraet Al Haj Hammoud,NA,NA,182,46,NA,NA,NA,NA,NA,228,1358,C8391
Afrin,Afrin,Baee,NA,NA,NA,227,NA,NA,NA,NA,NA,227,2056,C1373
Idleb,Maaret Tamsrin,Maarbouneh,NA,NA,100,2,123,NA,NA,NA,NA,225,601,C8435
Afrin,Jandairis,Abu Ka'ab,NA,NA,222,0,NA,NA,NA,NA,NA,222,261,C8151
Harim,Salqin,Magaret Hory,NA,NA,222,NA,NA,NA,NA,NA,NA,222,420,C8427
Afrin,Bulbul,Zfnek,40,NA,180,NA,NA,NA,NA,NA,NA,220,195,C6396
Jisr-Ash-Shugur,Darkosh,Kharab Sultan,NA,5,63,148,NA,NA,NA,NA,NA,216,454,C6639
Afrin,Bulbul,Ali Elatrash - Olikar,15,NA,200,NA,NA,NA,NA,NA,NA,215,251,C1408
Afrin,Jandairis,Dukan,50,NA,164,0,NA,NA,NA,NA,NA,214,172,C8130
Afrin,Raju,Taqiyeh - Kamrash,NA,NA,210,NA,NA,NA,NA,NA,NA,210,377,C1464
Afrin,Sharan,Bafelyun,210,NA,NA,NA,NA,NA,NA,NA,NA,210,694,C1507
Afrin,Raju,Dawdaw,NA,NA,207,NA,NA,NA,NA,NA,NA,207,309,C1454
A'zaz,Aghtrin,Mezraat Shahin,NA,NA,185,22,NA,NA,NA,NA,NA,207,418,C7572
Ariha,Mhambal,Bales,NA,NA,161,45,NA,NA,NA,NA,NA,206,720,C4314
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Sali,NA,NA,NA,205,NA,NA,NA,NA,NA,205,1182,C4189
Afrin,Sharan,Little Hallubi,183,NA,21,NA,NA,NA,NA,NA,NA,204,1110,C1501
Afrin,Sharan,Amud (Sharan),195,2,NA,NA,NA,NA,NA,NA,NA,197,679,C1511
Afrin,Bulbul,Sara,5,NA,190,NA,NA,NA,NA,NA,NA,195,520,C1400
Afrin,Bulbul,Hozan,15,NA,180,NA,NA,NA,NA,NA,NA,195,384,C1417
Afrin,Raju,Hasan Klkawi,NA,NA,194,NA,NA,NA,NA,NA,NA,194,137,C6404
Afrin,Bulbul,Bali - Koy,5,NA,185,NA,NA,NA,NA,NA,NA,190,382,C1407
Jisr-Ash-Shugur,Jisr-Ash-Shugur,eyn albarda,NA,NA,185,NA,NA,NA,NA,NA,NA,185,1055,C8388
Afrin,Sharan,Ali Bazan,182,NA,NA,NA,NA,NA,NA,NA,NA,182,746,C1512
Afrin,Ma'btali,Mazuleh - Rotanli,NA,NA,176,NA,NA,NA,NA,NA,NA,176,624,C1553
Afrin,Bulbul,Hajeb - Qash Ogli,30,NA,145,NA,NA,NA,NA,NA,NA,175,190,C1402
Afrin,Jandairis,Kharzan,NA,NA,156,19,NA,NA,NA,NA,NA,175,200,C1432
Jisr-Ash-Shugur,Darkosh,Kharab Khalil,NA,NA,NA,174,NA,NA,NA,NA,NA,174,466,C6637
Afrin,Raju,Karri,NA,NA,NA,NA,NA,NA,174,NA,NA,174,174,C7567
A'zaz,Aghtrin,Bgheidine,NA,NA,172,NA,NA,NA,NA,NA,NA,172,453,C1593
Al Bab,Al Bab,Khalilieyh (Al Bab),NA,NA,170,NA,NA,NA,NA,NA,NA,170,212,C8163
Afrin,Sheikh El-Hadid,Anqala,NA,NA,165,NA,NA,NA,NA,NA,NA,165,961,C1528
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Ghanya,NA,NA,150,15,NA,NA,NA,NA,NA,165,218,C4209
Ariha,Ehsem,Ein Laruz,NA,NA,NA,165,NA,NA,NA,NA,NA,165,867,C4299
Afrin,Bulbul,Kurazli,NA,NA,165,NA,NA,NA,NA,NA,NA,165,438,C8278
Ariha,Mhambal,Jadraya,NA,NA,159,NA,3,NA,NA,NA,NA,162,1259,C4320
Afrin,Bulbul,Deir Hasan,5,NA,25,130,NA,NA,NA,NA,NA,160,1106,C1399
Afrin,Bulbul,Sheikh Khoraz,NA,NA,160,NA,NA,NA,NA,NA,NA,160,1068,C1410
Afrin,Sharan,Yiji,160,NA,NA,NA,NA,NA,NA,NA,NA,160,571,C1500
Afrin,Bulbul,Hayamli,NA,NA,160,NA,NA,NA,NA,NA,NA,160,641,C8293
A'zaz,A'zaz,Ferziyeh,NA,NA,NA,NA,157,NA,NA,NA,NA,157,350,C1560
Jisr-Ash-Shugur,Darkosh,Tebat Alesm,NA,NA,NA,157,NA,NA,NA,NA,NA,157,515,C8409
Afrin,Bulbul,Okan,NA,NA,155,NA,NA,NA,NA,NA,NA,155,290,C1409
Afrin,Sheikh El-Hadid,Sinnara,NA,NA,155,NA,NA,NA,NA,NA,NA,155,1113,C1529
Jisr-Ash-Shugur,Darkosh,Deir Othman,147,NA,NA,NA,NA,NA,NA,NA,NA,147,0,C4239
Afrin,Sheikh El-Hadid,Mazineh - Aranda,NA,NA,145,NA,NA,NA,NA,NA,NA,145,1182,C1530
Afrin,Afrin,Muarset Khateeb,NA,NA,NA,NA,144,NA,NA,NA,NA,144,492,C6394
Afrin,Sheikh El-Hadid,Khazafiyeh - Qorret Matlaq,NA,NA,135,NA,NA,NA,NA,NA,NA,135,1019,C1527
Afrin,Afrin,Kafrmeez,NA,NA,NA,NA,134,NA,NA,NA,NA,134,1378,C6395
Afrin,Sharan,Jiman,125,NA,6,NA,NA,NA,NA,NA,NA,131,1354,C1493
Afrin,Afrin,Kafr Batra,125,NA,NA,NA,NA,NA,NA,NA,NA,125,1547,C1388
A'zaz,Aghtrin,Qaar Kalbein,NA,NA,NA,125,NA,NA,NA,NA,270,125,1159,C1616
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Al Enabiat,NA,NA,NA,121,NA,NA,NA,NA,NA,121,260,C8386
A'zaz,Aghtrin,Hardana (Aghtrin),NA,NA,NA,120,NA,NA,NA,NA,NA,120,2115,C1585
Ariha,Ariha,Sarja (Ariha),NA,2,NA,118,NA,NA,NA,NA,NA,120,2867,C4273
Afrin,Ma'btali,Yatimeh - Oksozli,NA,NA,119,NA,NA,NA,NA,NA,NA,119,520,C1545
Ariha,Mhambal,Ainata,NA,NA,119,NA,NA,NA,NA,NA,NA,119,530,C6614
A'zaz,Aghtrin,Tal Battal,NA,NA,95,22,NA,NA,NA,NA,NA,117,290,C8250
Afrin,Sheikh El-Hadid,Tal Elthaaleb - Sheikh Jqali,NA,NA,115,NA,NA,NA,NA,NA,NA,115,755,C1526
A'zaz,A'zaz,Jarez,NA,NA,NA,NA,114,NA,NA,NA,NA,114,1413,C1562
A'zaz,Mare',Asanbal,NA,NA,NA,NA,112,NA,NA,NA,NA,112,1386,C1629
Jisr-Ash-Shugur,Darkosh,Magharet Jamous,NA,NA,110,NA,NA,NA,NA,NA,NA,110,485,C6701
Afrin,Bulbul,Hafatro,10,NA,100,NA,NA,NA,NA,NA,NA,110,329,C8289
Afrin,Ma'btali,Haj Qassem,NA,NA,NA,NA,109,NA,NA,NA,NA,109,405,C1541
Afrin,Jandairis,Lower Kafardali,NA,NA,105,NA,NA,NA,NA,NA,NA,105,912,C1448
A'zaz,Aghtrin,Al-Kamaliya,NA,NA,105,NA,NA,NA,NA,NA,NA,105,192,C8228
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Arzaghan Fawqani,NA,NA,NA,102,NA,NA,NA,NA,NA,102,1061,C7267
Afrin,Sheikh El-Hadid,Sheikh Khalil,NA,NA,95,NA,NA,NA,NA,NA,NA,95,276,C8212
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Qaysiyeh,NA,NA,NA,87,NA,NA,NA,NA,NA,87,3272,C4206
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Msheirfeh (Jisr-Ash-Shugur),NA,NA,10,76,NA,NA,NA,NA,NA,86,1139,C4187
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Muntar Tahtani,NA,NA,NA,82,NA,NA,NA,NA,NA,82,504,C7240
As-Suqaylabiyah,Ziyara,Qastun,NA,NA,NA,NA,NA,NA,80,NA,NA,80,872,C3170
Afrin,Bulbul,Jolaqi,NA,NA,80,NA,NA,NA,NA,NA,NA,80,144,C7640
Afrin,Raju,Aaliaa - Ali Baski,NA,NA,79,NA,NA,NA,NA,NA,NA,79,280,C1458
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Mazraet Qatroun,NA,NA,78,NA,NA,NA,NA,NA,NA,78,457,C8392
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Um Rish,NA,2,NA,75,NA,NA,NA,NA,NA,77,2587,C4194
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jeb Alsafa,73,NA,NA,NA,NA,NA,NA,NA,NA,73,578,C6641
Afrin,Bulbul,Ashani,5,NA,65,NA,NA,NA,NA,NA,NA,70,281,C1411
A'zaz,Aghtrin,Eastern Tal Aar,NA,NA,NA,70,NA,NA,NA,NA,NA,70,1760,C1594
Ariha,Ehsem,Farkya,NA,NA,NA,70,NA,NA,NA,NA,NA,70,1670,C4305
Afrin,Bulbul,Bakhgh,NA,NA,70,NA,NA,NA,NA,NA,NA,70,347,C8716
Afrin,Sharan,Big Bostan,NA,NA,NA,NA,69,NA,NA,NA,NA,69,136,C1496
Afrin,Sheikh El-Hadid,Darmash - Darmashkanli,NA,NA,65,NA,NA,NA,NA,NA,NA,65,344,C1531
A'zaz,Aghtrin,Shabanyiha,NA,NA,40,22,NA,NA,NA,NA,NA,62,406,C8244
Afrin,Bulbul,Sagher - Sagher Oba Si,15,NA,NA,46,NA,NA,NA,NA,NA,61,371,C1405
A'zaz,Aghtrin,Al Kharab,NA,NA,NA,59,NA,NA,NA,NA,NA,59,0,C7478
Al Bab,Al Bab,Kufair,NA,NA,59,NA,NA,NA,NA,NA,NA,59,586,C8143
A'zaz,Aghtrin,Qazam - Qesset Jak,NA,NA,50,8,NA,NA,NA,NA,NA,58,713,C1613
Afrin,Afrin,Bteita,50,NA,NA,NA,NA,NA,NA,NA,NA,50,168,C1372
Afrin,Sheikh El-Hadid,Wadi Elthaalab - Lower Jqal,NA,NA,50,NA,NA,NA,NA,NA,NA,50,461,C1532
A'zaz,Mare',Sandaf,NA,NA,50,NA,NA,NA,NA,NA,NA,50,1700,C6419
A'zaz,Suran,Dalha (Suran),NA,NA,50,NA,NA,NA,NA,NA,NA,50,513,C6423
Afrin,Sharan,Dama - Ayki Dam,47,NA,NA,NA,NA,NA,NA,NA,NA,47,253,C1495
Afrin,Bulbul,Oba Beik Oba Basi,NA,NA,45,NA,NA,NA,NA,NA,NA,45,446,C1393
A'zaz,Suran,Harjalah,NA,NA,45,NA,NA,NA,NA,NA,NA,45,703,C6422
Ariha,Ehsem,Maghara,NA,2,NA,42,NA,NA,NA,NA,NA,44,1582,C4300
A'zaz,Aghtrin,Ahmadiyha,NA,NA,35,6,NA,NA,NA,NA,NA,41,101,C8247
Idleb,Maaret Tamsrin,Bir Al Tayeb,NA,NA,40,NA,NA,NA,NA,NA,NA,40,962,C8438
Afrin,Afrin,Ein Dara,NA,2,NA,NA,NA,37,NA,NA,NA,39,2088,C1370
Afrin,Afrin,Kimar,15,NA,23,NA,NA,NA,NA,NA,NA,38,472,C1382
A'zaz,Aghtrin,Ein Elosud,NA,NA,NA,38,NA,NA,NA,NA,NA,38,752,C1604
Afrin,Jandairis,Mhamadia,NA,NA,NA,NA,37,NA,NA,NA,NA,37,987,C8135
Afrin,Sheikh El-Hadid,Maghar - Maghar Jeq,NA,NA,35,NA,NA,NA,NA,NA,NA,35,495,C1533
Afrin,Sheikh El-Hadid,Kalanli,NA,NA,35,NA,NA,NA,NA,NA,NA,35,113,C6406
Afrin,Sharan,Al Orobah,35,NA,NA,NA,NA,NA,NA,NA,NA,35,433,C8260
A'zaz,A'zaz,Krum (A'zaz),NA,NA,NA,NA,32,NA,NA,NA,NA,32,703,C1565
Idleb,Idleb,Aqrabat (Idleb),NA,NA,20,NA,6,NA,NA,NA,NA,26,2119,C3866
Afrin,Sheikh El-Hadid,Mostakan,NA,NA,25,NA,NA,NA,NA,NA,NA,25,244,C1534
Afrin,Afrin,Enab,NA,NA,24,NA,NA,NA,NA,NA,NA,24,9021,C1367
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Mazraet al hammam,NA,NA,NA,12,12,NA,NA,NA,NA,24,203,C8390
A'zaz,Aghtrin,Dweir Elhawa,NA,NA,20,NA,NA,NA,NA,NA,NA,20,358,C1586
A'zaz,Suran,Kafrshush,NA,NA,20,NA,NA,NA,NA,NA,NA,20,288,C1673
Afrin,Sheikh El-Hadid,Haj Belal,NA,NA,20,NA,NA,NA,NA,NA,NA,20,210,C8208
A'zaz,Aghtrin,Abla,NA,2,15,NA,NA,NA,NA,NA,NA,17,1046,C1584
Afrin,Raju,Almadar,NA,NA,NA,NA,16,NA,NA,NA,NA,16,357,C1467
Ariha,Ariha,Maarzaf (Ariha),NA,NA,NA,16,NA,NA,NA,NA,NA,16,376,C4279
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Bteibat,NA,NA,NA,12,NA,NA,NA,NA,NA,12,371,C4195
A'zaz,Aghtrin,Masudiyeh (Aghtrin),NA,NA,NA,NA,10,NA,NA,NA,310,10,1119,C1599
Jarablus,Jarablus,Um Sosa,NA,NA,NA,10,NA,NA,NA,NA,NA,10,238,C2228
Ariha,Ariha,Abkally,NA,NA,NA,10,NA,NA,NA,NA,NA,10,672,C4270
Afrin,Sharan,Sinka,NA,NA,10,NA,NA,NA,NA,NA,NA,10,2460,C8235
A'zaz,Aghtrin,Eastern Tal Battal,NA,NA,NA,NA,9,NA,NA,NA,NA,9,1020,C1601
Afrin,Jandairis,Upper Kafardali,NA,NA,8,NA,NA,NA,NA,NA,NA,8,466,C1442
Afrin,Ma'btali,Ashur,NA,NA,8,NA,NA,NA,NA,NA,NA,8,351,C1537
Idleb,Bennsh,Al-Swagheih,NA,7,NA,1,NA,NA,NA,NA,NA,8,131,C6630
Afrin,Ma'btali,Upper Khazian,NA,NA,8,NA,NA,NA,NA,NA,NA,8,575,C8207
Jisr-Ash-Shugur,Janudiyeh,Al Marjeh,NA,NA,NA,7,NA,NA,NA,NA,NA,7,1736,C6731
Al Bab,Al Bab,Shaala,NA,NA,NA,5,NA,NA,NA,NA,NA,5,0,C1189
Afrin,Afrin,Tharifa,NA,NA,5,NA,NA,NA,NA,NA,NA,5,1094,C1363
Afrin,Raju,Qalam - Bandrak,NA,NA,5,NA,NA,NA,NA,NA,NA,5,47,C1480
Ariha,Mhambal,Shagurit,NA,1,NA,4,NA,NA,NA,NA,NA,5,825,C4311
Jisr-Ash-Shugur,Darkosh,Al Hamia,NA,NA,NA,5,NA,NA,NA,NA,NA,5,752,C6734
Jebel Saman,Atareb,Tadil,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1371,C1028
Al Bab,Ar-Ra'ee,Jbine (Ar-Ra'ee),NA,2,NA,NA,NA,NA,NA,NA,NA,2,722,C1256
Afrin,Raju,Sheikh Mohammed,NA,2,NA,NA,NA,NA,NA,NA,NA,2,834,C1453
Afrin,Raju,Haj Khalil,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1222,C1455
Afrin,Raju,Barband,NA,NA,2,NA,NA,NA,NA,NA,NA,2,1129,C1465
Afrin,Raju,Janjaleh,NA,2,NA,NA,NA,NA,NA,NA,NA,2,826,C1476
Afrin,Raju,Big Siwan,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1396,C1478
A'zaz,Aghtrin,Tat Hims,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2614,C1602
A'zaz,Aghtrin,Teltana,NA,NA,NA,2,NA,NA,NA,NA,NA,2,1330,C1606
Harim,Kafr Takharim,Kafr Mars,NA,NA,NA,NA,2,NA,NA,NA,NA,2,645,C4159
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Alyeh (Jisr-Ash-Shugur),NA,0,NA,2,NA,NA,NA,NA,NA,2,239,C4207
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Dgali,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1237,C4214
Al Bab,Ar-Ra'ee,Raghibiyah,NA,2,NA,NA,NA,NA,NA,NA,NA,2,171,C8241
Afrin,Raju,Hopkan,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1036,C8257
Afrin,Sharan,Mhabbaba - Naz Oshaghi,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2433,C1502
A'zaz,Aghtrin,Ghaytun,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3800,C1614
Idleb,Saraqab,Saraqab,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,C3916
A'zaz,Aghtrin,Ghoz,NA,NA,NA,NA,NA,NA,NA,NA,360,0,1518,C1607
Jisr-Ash-Shugur,Janudiyeh,Al Shaqeh,NA,NA,NA,0,NA,NA,NA,NA,NA,0,217,C8412
Jebel Saman,Atareb,Qanater (Big Orm),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,C1019
Jebel Saman,Atareb,Oweijel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,C1024
Jebel Saman,Atareb,Little Orm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1027
Jebel Saman,Atareb,Big Orm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,C1029
Jebel Saman,Atareb,Sheikh Ali (Big Orm),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1031
Jebel Saman,Atareb,Kafr Naha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,C1034
Jebel Saman,Atareb,Kafr Aleppo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1039
Jebel Saman,Atareb,Western Kafr Jum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,C1040
Jebel Saman,Atareb,Mezanaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C6679
Jebel Saman,Atareb,Arnaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C6680
Jebel Saman,Atareb,Ajel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C6753
Jebel Saman,Atareb,Al Radwan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C7348
Jebel Saman,Atareb,Jamiyat al Rahal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,C7359
Jebel Saman,Atareb,Jameyt Al-Arman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C8065
Jebel Saman,Daret Azza,Hur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488,C1140
Jebel Saman,Daret Azza,Bshantara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,C1141
Jebel Saman,Daret Azza,Anjara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,C1144
Jebel Saman,Daret Azza,Bishqatine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,C1145
Jebel Saman,Daret Azza,Hoteh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,C1146
Jebel Saman,Daret Azza,Bsartun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1147
Jebel Saman,Daret Azza,Majbineh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1148
Jebel Saman,Daret Azza,Qabtan Eljabal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,C1150
Jebel Saman,Daret Azza,Balenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,C6682
Jebel Saman,Daret Azza,Bala (Daret Azza),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C6756
Jebel Saman,Daret Azza,Mashhad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,C6764
Jebel Saman,Daret Azza,Jamiyat Azar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C7393
Jebel Saman,Daret Azza,Jamiyat al Maari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C7430
Jebel Saman,Daret Azza,Bakdana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C7431
Jebel Saman,Daret Azza,Shaykh Sulayman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C7441
Jebel Saman,Daret Azza,Jameyt Al-Hadi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C8083
Jebel Saman,Daret Azza,Qasemiyeh (Daret Azza),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,C8085
Jebel Saman,Daret Azza,Salloum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,C8087
Jebel Saman,Daret Azza,Mkelbis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C8088
Al Bab,Al Bab,Um Elamad Elbab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,C1201
Al Bab,Al Bab,Nayrabiyeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,C1186
Al Bab,Al Bab,Suran (Al Bab),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653,C1197
Al Bab,Al Bab,Big Sarja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,C1203
Al Bab,Al Bab,Tal Rahhal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,C1205
Al Bab,Al Bab,Sheikh Kif,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,C1207
Al Bab,Al Bab,Qemmet Daghelbash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,791,C1208
Al Bab,Al Bab,Mran (Al Bab),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,C1210
Al Bab,Al Bab,Waqqah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,C1212
Al Bab,Al Bab,Madyuneh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,C6412
Al Bab,Al Bab,Wuradaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,C7438
Al Bab,Al Bab,Halisah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,C7442
Al Bab,Al Bab,Hajj Hassan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,C7443
Al Bab,Al Bab,Darkale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,C7446
