district,sub_district,community,Cash,Education,FSL,Nutrition,Protection,SNFI,WASH,CCCM,ERL,beneficiary_frequencies,total_pop,admin4pcode
A'zaz,Aghtrin,Talatayna ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686,C8179
A'zaz,Mare',Saed - Qlsroj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1630
A'zaz,Mare',Harbal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,C1631
A'zaz,Mare',Alsayed Ali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,C1633
A'zaz,Mare',Hosniyeh - Hsajek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,747,C1634
A'zaz,Mare',Tal Madeeq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1635
A'zaz,Mare',Hissiyeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1637
A'zaz,Mare',Telqraq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5888,C1638
A'zaz,Mare',Qaramel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494,C1639
A'zaz,Mare',Fafin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8753,C1640
A'zaz,Mare',Maratet Um Hosh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3989,C1641
A'zaz,Mare',Wahshiyeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2375,C1644
A'zaz,Mare',Tal Maled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,C6418
A'zaz,Mare',Em Al-Qura (Mare'),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,C6420
A'zaz,Mare',Wasitiyah Maree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C7474
A'zaz,Mare',Mezraat Hewarin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C7480
A'zaz,Mare',Hasin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,C8140
A'zaz,Mare',Wardyah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,C8152
A'zaz,Nabul,Big Zawraq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1645
A'zaz,Nabul,Zahraa (Nabul),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15896,C1646
A'zaz,Nabul,Hardatnin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1647
A'zaz,Nabul,Burj Elqas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1648
A'zaz,Nabul,Byanun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1649
A'zaz,Nabul,Bashmra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1650
A'zaz,Nabul,Retyan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1651
A'zaz,Nabul,Kafin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1354,C1652
A'zaz,Nabul,Maarset Elkhan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1653
A'zaz,Nabul,Mayasa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1654
A'zaz,Nabul,Nabul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31120,C1655
A'zaz,Nabul,Mayer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1656
A'zaz,Nabul,Banastour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C7453
A'zaz,Nabul,Sheikh Aqil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C8121
A'zaz,Suran,Yarobiyeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442,C1657
A'zaz,Suran,Jdideh (Suran),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,C1662
A'zaz,Suran,Al-Sheikh Rih,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,672,C8222
A'zaz,Suran,Tall Husson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,791,C8231
A'zaz,Suran,Al-Maraa Al-Sawda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,C8253
Menbij,Menbij,Kherbet Elhsan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160,C1675
Menbij,Menbij,Janat Saleh Eltayyeb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,661,C1744
Menbij,Menbij,Shanhasa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,C1747
Menbij,Menbij,Manther Eljarf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510,C1766
Menbij,Menbij,Rasm Elmashrafeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1605,C1674
Menbij,Menbij,Tal Yasti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2130,C1676
Menbij,Menbij,Btoshiyet Manbaj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980,C1677
Menbij,Menbij,Asaliyeh (Menbij),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1125,C1678
Menbij,Menbij,Farat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,C1679
Menbij,Menbij,Kherbet Elsheyab (Menbij),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1385,C1680
Menbij,Menbij,Um Jlud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,C1681
Menbij,Menbij,Little Osajli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1630,C1682
Menbij,Menbij,Big Arab Hasan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2610,C1683
Menbij,Menbij,Jeb Elqader,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040,C1684
Menbij,Menbij,Um Jalal (Menbij),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980,C1685
Menbij,Menbij,Toq Elkhalil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,930,C1686
Menbij,Menbij,Big Osajli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2745,C1687
Menbij,Menbij,Dandaniya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,C1688
Menbij,Menbij,Tal Rafei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,C1689
Menbij,Menbij,Jeb Makhzum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1580,C1690
Menbij,Menbij,Twal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,C1691
Menbij,Menbij,Biret Manbaj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1530,C1692
Menbij,Menbij,Amudiyeh (Abu Kahf),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,C1693
Menbij,Menbij,Tal Abu Jadha - Tayara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,C1694
Menbij,Menbij,Jeb Elhamam Sultan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,C1695
Menbij,Menbij,Khishfet Um Adaseh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,C1696
Menbij,Menbij,Jeb Elthor - Akrash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1025,C1697
Menbij,Menbij,Um Khorzet Manbaj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605,C1698
Menbij,Menbij,Anzawiyeh Manbaj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1865,C1699
Menbij,Menbij,Um Elsateh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,935,C1700
Menbij,Menbij,Jeb Abyad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675,C1701
Menbij,Menbij,Jamusiyeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680,C1702
Menbij,Menbij,Jeb Elkhafi - Manbaj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C1703
Menbij,Menbij,Rafeeah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1550,C1704
Menbij,Menbij,Tlilet Manbaj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,C1705
Menbij,Menbij,Big Jeb Elkalb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,C1706
Menbij,Menbij,Boyer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060,C1707
Menbij,Menbij,Kherbet Massi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015,C1708
Menbij,Menbij,Kherbet Nafakh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,C1709
Menbij,Menbij,Omriyeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,890,C1710
Menbij,Menbij,Tal Akhdar (Menbij),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,C1711
Menbij,Menbij,Hamduniyeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,C1712
Menbij,Menbij,Abu Jrin Manbaj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,C1713
Menbij,Menbij,Bir Kello,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1165,C1714
Menbij,Menbij,Saan Elghazal - Buz Kij,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2110,C1715
Menbij,Menbij,Khirfan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2125,C1716
Menbij,Menbij,Dadat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,C1717
Menbij,Menbij,Zornaqal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2425,C1719
Menbij,Menbij,Saidiyeh (Menbij),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1275,C1720
Menbij,Menbij,Sultahiyeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,C1721
Menbij,Menbij,Jeb Elarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940,C1722
Menbij,Menbij,Mahsana - Bak Weiran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015,C1723
Menbij,Menbij,Little Hamam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,C1724
Menbij,Menbij,Himar Jis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,C1725
Menbij,Menbij,Um Adase Near Manbaj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,C1726
Menbij,Menbij,Hamran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,C1727
