admin1pcode,admin2pcode,admin3pcode,admin4pcode,beneficiaries,beneficiary_frequencies,clusters,total_pop,wounded_dead,wounded_dead_100k,damaged_houses,damaged_houses_100k,eq_score,cash_ben,pc_ben_freq,pc_ben
SY07,SY0704,SY070402,C6734,1,5,1,752,NA,NA,NA,NA,NA,NA,0.006648936170212766,0.0013297872340425532
SY07,SY0703,SY070302,C6750,160,320,1,1387,NA,NA,NA,NA,NA,NA,0.23071377072819033,0.11535688536409516
SY07,SY0704,SY070400,C7240,41,82,1,504,NA,NA,NA,NA,NA,NA,0.1626984126984127,0.08134920634920635
SY07,SY0704,SY070400,C7267,34,102,1,1061,NA,NA,NA,NA,NA,NA,0.09613572101790764,0.03204524033930255
SY02,SY0203,SY020301,C7640,40,80,1,144,NA,NA,NA,NA,NA,NA,0.5555555555555556,0.2777777777777778
SY07,SY0704,SY070400,C7930,985,1143,3,2387,NA,NA,NA,NA,NA,NA,0.47884373690825305,0.41265186426476747
SY07,SY0703,SY070301,C8092,1190,6085,3,15577,NA,NA,NA,NA,NA,NA,0.39064004622199394,0.07639468447069397
SY02,SY0203,SY020302,C8135,23,37,1,987,NA,NA,NA,NA,NA,NA,0.037487335359675786,0.02330293819655522
SY02,SY0203,SY020302,C8146,397,397,1,666,NA,NA,NA,NA,NA,NA,0.5960960960960962,0.5960960960960962
SY02,SY0203,SY020306,C8207,8,8,1,575,NA,NA,NA,NA,NA,NA,0.01391304347826087,0.01391304347826087
SY02,SY0203,SY020305,C8208,20,20,1,210,0,0,20,9523.809523809523,0.06603444879707297,NA,0.09523809523809523,0.09523809523809523
SY02,SY0203,SY020305,C8212,95,95,1,276,NA,NA,NA,NA,NA,NA,0.3442028985507246,0.3442028985507246
SY02,SY0203,SY020304,C8235,10,10,1,2460,0,0,50,2032.520325203252,0.01938384122019813,NA,0.0040650406504065045,0.0040650406504065045
SY02,SY0203,SY020303,C8257,1,2,1,1036,NA,NA,NA,NA,NA,NA,0.0019305019305019305,9.652509652509653e-4
SY02,SY0203,SY020304,C8260,35,35,1,433,NA,NA,NA,NA,NA,35,0.08083140877598152,0.08083140877598152
SY02,SY0203,SY020301,C8278,60,165,1,438,NA,NA,NA,NA,NA,NA,0.3767123287671233,0.136986301369863
SY02,SY0203,SY020301,C8289,50,110,2,329,NA,NA,NA,NA,NA,10,0.3343465045592705,0.1519756838905775
SY02,SY0203,SY020301,C8293,160,160,1,641,NA,NA,NA,NA,NA,NA,0.24960998439937598,0.24960998439937598
SY07,SY0704,SY070400,C8385,103,316,1,560,NA,NA,NA,NA,NA,NA,0.5642857142857143,0.18392857142857144
SY07,SY0704,SY070400,C8386,34,121,1,260,NA,NA,NA,NA,NA,NA,0.4653846153846154,0.13076923076923078
SY07,SY0704,SY070400,C8388,185,185,1,1055,NA,NA,NA,NA,NA,NA,0.17535545023696683,0.17535545023696683
SY07,SY0704,SY070400,C8390,12,24,2,203,NA,NA,NA,NA,NA,NA,0.11822660098522167,0.059113300492610835
SY07,SY0704,SY070400,C8391,182,228,2,1358,NA,NA,NA,NA,NA,NA,0.16789396170839468,0.13402061855670103
SY07,SY0704,SY070400,C8392,78,78,1,457,NA,NA,NA,NA,NA,NA,0.17067833698030635,0.17067833698030635
SY07,SY0704,SY070402,C8409,51,157,1,515,NA,NA,NA,NA,NA,NA,0.3048543689320388,0.09902912621359224
SY07,SY0704,SY070403,C8412,0,0,1,217,NA,NA,NA,NA,NA,NA,0,0
SY07,SY0703,SY070302,C8427,222,222,1,420,NA,NA,NA,NA,NA,NA,0.5285714285714286,0.5285714285714286
SY02,SY0203,SY020301,C8716,70,70,1,347,NA,NA,NA,NA,NA,NA,0.2017291066282421,0.2017291066282421
