admin1pcode,governorate,admin2pcode,district,admin3pcode,sub_district,admin4pcode,community,is_2022,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,cumulative,activity,cluster
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1059,Hmeidi,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1060,Tal Hattabat Semaan,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1061,Deir Saliba,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1062,Tal Hawasid - Hanuteh,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1063,Burda (Tall Ed-daman),NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1064,Um Jrein (Tall Ed-daman),NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1065,Um Elkaramel,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1066,Tal Ahmar (Tall Ed-daman),NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1067,Big Oweinat,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1068,Rajm Omeirat,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1069,Um Tinet Simaan,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1070,Tal Sabha,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1071,Tal Aqareb,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1072,Batha,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1073,Oleis,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1074,Andan Elsheikh,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1075,Hayyaniyeh,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1076,Ballas,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1077,Shweihet Ellahib,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1078,Tarfawi (Tall Ed-daman),NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1079,Saeebiyeh,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1080,Mansura (Tall Ed-daman),NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ISIMM,CCCM
